//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 3-7-2021
//--  Time: 11:31
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:fileBrowseGenerator
//-- Table Identifier:002//--    Generated from user inc file 
//--    Useing user File:
//-- /home/nhol .... ects/Speeduino Miata/inc/AEM 30-3130.inc
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
801	16.61	166 	3.911
802	16.62	166 	3.916
803	16.63	166 	3.921
804	16.64	166 	3.926
805	16.65	167 	3.931
806	16.66	167 	3.936
807	16.68	167 	3.940
808	16.69	167 	3.945
809	16.70	167 	3.950
810	16.71	167 	3.955
811	16.72	167 	3.960
812	16.73	167 	3.965
813	16.75	167 	3.970
814	16.76	168 	3.975
815	16.77	168 	3.979
816	16.78	168 	3.984
817	16.79	168 	3.989
818	16.80	168 	3.994
819	16.82	168 	3.999
820	16.83	168 	4.004
821	16.84	168 	4.009
822	16.85	168 	4.014
823	16.86	169 	4.019
824	16.87	169 	4.023
825	16.88	169 	4.028
826	16.90	169 	4.033
827	16.91	169 	4.038
828	16.92	169 	4.043
829	16.93	169 	4.048
830	16.94	169 	4.053
831	16.95	170 	4.058
832	16.97	170 	4.063
833	16.98	170 	4.067
834	16.99	170 	4.072
835	17.00	170 	4.077
836	17.01	170 	4.082
837	17.02	170 	4.087
838	17.03	170 	4.092
839	17.05	170 	4.097
840	17.06	171 	4.102
841	17.07	171 	4.106
842	17.08	171 	4.111
843	17.09	171 	4.116
844	17.10	171 	4.121
845	17.11	171 	4.126
846	17.13	171 	4.131
847	17.14	171 	4.136
848	17.15	171 	4.141
849	17.16	172 	4.146
850	17.17	172 	4.150
851	17.18	172 	4.155
852	17.19	172 	4.160
853	17.21	172 	4.165
854	17.22	172 	4.170
855	17.23	172 	4.175
856	17.24	172 	4.180
857	17.25	173 	4.185
858	17.26	173 	4.189
859	17.27	173 	4.194
860	17.28	173 	4.199
861	17.30	173 	4.204
862	17.31	173 	4.209
863	17.32	173 	4.214
864	17.33	173 	4.219
865	17.34	173 	4.224
866	17.35	174 	4.229
867	17.37	174 	4.233
868	17.38	174 	4.238
869	17.39	174 	4.243
870	17.40	174 	4.248
871	17.41	174 	4.253
872	17.42	174 	4.258
873	17.44	174 	4.263
874	17.45	174 	4.268
875	17.46	175 	4.272
876	17.47	175 	4.277
877	17.48	175 	4.282
878	17.49	175 	4.287
879	17.50	175 	4.292
880	17.52	175 	4.297
881	17.53	175 	4.302
882	17.54	175 	4.307
883	17.55	176 	4.312
884	17.56	176 	4.316
885	17.57	176 	4.321
886	17.59	176 	4.326
887	17.60	176 	4.331
888	17.61	176 	4.336
889	17.62	176 	4.341
890	17.63	176 	4.346
891	17.64	176 	4.351
892	17.66	177 	4.355
893	17.67	177 	4.360
894	17.68	177 	4.365
895	17.69	177 	4.370
896	17.70	177 	4.375
897	17.71	177 	4.380
898	17.73	177 	4.385
899	17.74	177 	4.390
900	17.75	177 	4.395
901	17.76	178 	4.399
902	17.77	178 	4.404
903	17.78	178 	4.409
904	17.80	178 	4.414
905	17.81	178 	4.419
906	17.82	178 	4.424
907	17.83	178 	4.429
908	17.84	178 	4.434
909	17.85	179 	4.438
910	17.87	179 	4.443
911	17.88	179 	4.448
912	17.89	179 	4.453
913	17.90	179 	4.458
914	17.91	179 	4.463
915	17.92	179 	4.468
916	17.94	179 	4.473
917	17.95	179 	4.478
918	17.96	180 	4.482
919	17.97	180 	4.487
920	17.98	180 	4.492
921	17.99	180 	4.497
922	18.01	180 	4.502
923	18.02	180 	4.507
924	18.03	180 	4.512
925	18.04	180 	4.517
926	18.05	181 	4.521
927	18.05	181 	4.526
928	18.05	181 	4.531
929	18.05	181 	4.536
930	18.05	181 	4.541
931	18.05	181 	4.546
932	18.05	181 	4.551
933	18.05	181 	4.556
934	18.05	181 	4.561
935	18.05	181 	4.565
936	18.05	181 	4.570
937	18.05	181 	4.575
938	18.05	181 	4.580
939	18.05	181 	4.585
940	18.05	181 	4.590
